epoch,train_loss,val_loss,train_acc,val_acc,avg_alpha,avg_beta
1,1.369743,1.531006,0.654321,0.545455,0.143974,0.856026
2,0.402072,1.700247,0.987654,0.545455,0.108407,0.891593
3,0.183226,1.914148,1.0,0.545455,0.109285,0.890715
4,0.096452,2.18989,1.0,0.545455,0.115441,0.884559
5,0.061871,2.369018,1.0,0.545455,0.117378,0.882622
6,0.043735,2.481798,1.0,0.545455,0.118954,0.881046
7,0.033502,2.626232,1.0,0.545455,0.120834,0.879166
8,0.026624,2.719327,1.0,0.545455,0.120205,0.879795
9,0.022081,2.76837,1.0,0.545455,0.120902,0.879098
10,0.018852,2.818971,1.0,0.545455,0.119145,0.880855
11,0.01676,2.867694,1.0,0.545455,0.118558,0.881442
12,0.015528,2.890862,1.0,0.545455,0.120138,0.879862
13,0.013603,2.949184,1.0,0.545455,0.119642,0.880358
14,0.012087,2.975881,1.0,0.545455,0.119426,0.880574
15,0.011667,2.989877,1.0,0.545455,0.120082,0.879918
16,0.011085,3.014996,1.0,0.545455,0.120095,0.879905
17,0.010433,3.036985,1.0,0.545455,0.120024,0.879976
18,0.01016,3.053199,1.0,0.545455,0.119888,0.880112
19,0.009622,3.062891,1.0,0.545455,0.120109,0.879891
20,0.009567,3.071513,1.0,0.545455,0.120026,0.879974
21,0.009332,3.083916,1.0,0.545455,0.120125,0.879875
22,0.009168,3.089461,1.0,0.545455,0.120208,0.879792
23,0.009036,3.092297,1.0,0.545455,0.120166,0.879834
24,0.008814,3.093159,1.0,0.545455,0.12017,0.87983
25,0.009112,3.093334,1.0,0.545455,0.120172,0.879828
