epoch,train_loss,train_acc,val_loss,val_acc
1,2.624984,0.234568,2.232499,0.181818
2,2.129409,0.271605,1.940993,0.181818
3,1.61479,0.432099,1.906895,0.454545
4,0.534412,0.851852,0.883425,0.909091
5,0.014096,1.0,0.86925,0.909091
6,0.003058,1.0,0.874275,0.909091
7,0.001873,1.0,0.908524,0.909091
8,0.001399,1.0,0.943527,0.909091
9,0.00116,1.0,0.952773,0.909091
10,0.001025,1.0,0.95962,0.909091
11,0.000914,1.0,0.96407,0.909091
12,0.000846,1.0,0.969386,0.909091
13,0.000783,1.0,0.9731,0.909091
14,0.000729,1.0,0.977149,0.909091
15,0.000704,1.0,0.97858,0.909091
16,0.000662,1.0,0.980671,0.909091
17,0.000648,1.0,0.982768,0.909091
18,0.000622,1.0,0.983487,0.909091
19,0.000602,1.0,0.984619,0.909091
20,0.000583,1.0,0.986087,0.909091
21,0.00059,1.0,0.987075,0.909091
22,0.000588,1.0,0.987611,0.909091
23,0.000577,1.0,0.987952,0.909091
24,0.000575,1.0,0.988123,0.909091
25,0.000574,1.0,0.988167,0.909091
