epoch,train_loss,train_acc,val_loss,val_acc
1,1.282042,0.716049,1.019037,0.818182
2,0.412812,0.987654,0.638983,0.909091
3,0.163278,1.0,0.522967,0.909091
4,0.078578,1.0,0.478182,0.909091
5,0.049796,1.0,0.466158,0.909091
6,0.031699,1.0,0.459968,0.909091
7,0.023483,1.0,0.457196,0.909091
8,0.018582,1.0,0.458537,0.909091
9,0.014665,1.0,0.456524,0.909091
10,0.013664,1.0,0.457761,0.909091
11,0.011416,1.0,0.459749,0.909091
12,0.009688,1.0,0.4611,0.909091
13,0.009195,1.0,0.462729,0.909091
14,0.008079,1.0,0.463623,0.909091
15,0.007672,1.0,0.464402,0.909091
16,0.007662,1.0,0.465628,0.909091
17,0.006604,1.0,0.466709,0.909091
18,0.006878,1.0,0.466981,0.909091
19,0.006018,1.0,0.468246,0.909091
20,0.006055,1.0,0.469046,0.909091
21,0.006,1.0,0.469447,0.909091
22,0.006056,1.0,0.469705,0.909091
23,0.006079,1.0,0.46983,0.909091
24,0.005621,1.0,0.469878,0.909091
25,0.005716,1.0,0.469904,0.909091
