epoch,train_loss,train_acc,val_loss,val_acc
1,2.204428,0.296296,1.783092,0.363636
2,0.749727,0.814815,1.623561,0.545455
3,0.067831,1.0,2.638251,0.545455
4,0.016957,1.0,2.795617,0.545455
5,0.009441,1.0,2.990076,0.545455
6,0.006896,1.0,3.098597,0.545455
7,0.005729,1.0,3.14919,0.545455
8,0.004996,1.0,3.219224,0.545455
9,0.004349,1.0,3.300661,0.545455
10,0.003934,1.0,3.333985,0.545455
11,0.003524,1.0,3.369647,0.545455
12,0.003285,1.0,3.400619,0.545455
13,0.003045,1.0,3.41769,0.545455
14,0.00289,1.0,3.435284,0.545455
15,0.00272,1.0,3.450523,0.545455
16,0.002601,1.0,3.465676,0.545455
17,0.002523,1.0,3.479185,0.545455
18,0.002432,1.0,3.487488,0.545455
19,0.002389,1.0,3.492556,0.545455
20,0.002362,1.0,3.497175,0.545455
21,0.002312,1.0,3.503863,0.545455
22,0.002306,1.0,3.506944,0.545455
23,0.002278,1.0,3.508294,0.545455
24,0.002282,1.0,3.509016,0.545455
25,0.002273,1.0,3.509318,0.545455
